CD_NOM;LB_NOM;NOM_COMPLET;NOM_VALIDE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;GENRE;SOUS_GENRE
239285;Aglaoapis tridentata;Aglaoapis tridentata (Nylander, 1848);Aglaoapis tridentata (Nylander, 1848);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Dioxyini;Aglaoapis;
998970;Agrobombus inexspectatus;Agrobombus inexspectatus Tkalcu, 1963;Bombus inexspectatus (Tkalcu, 1963);Arthropoda;Insecta;Hymenoptera;Apidae;Apinae;Bombini;Bombus;Thoracobombus
239286;Amegilla albigena;Amegilla albigena (Lepeletier, 1841);Amegilla albigena (Lepeletier, 1841);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Zebramegilla
239287;Amegilla fasciata;Amegilla fasciata (Fabricius, 1775);Amegilla fasciata (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Micramegilla
239288;Amegilla gallica;Amegilla gallica (Dalla Torre & Friese, 1895);Anthophora gallica Dalla Torre & Friese, 1895;Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Anthophora;
239289;Amegilla garrula;Amegilla garrula (Rossi, 1790);Amegilla garrula (Rossi, 1790);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Amegilla
239290;Amegilla magnilabris;Amegilla magnilabris (Fedtschenko, 1875);Amegilla savignyi (Lepeletier, 1841);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Zebramegilla
239291;Amegilla ochroleuca;Amegilla ochroleuca (Perez, 1880);Amegilla ochroleuca (Perez, 1880);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;
239292;Amegilla quadrifasciata;Amegilla quadrifasciata (Villers, 1789);Amegilla quadrifasciata (Villers, 1789);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;
239294;Ammobates dufourii;Ammobates dufourii (Latreille, 1809);Ammobates punctatus (Fabricius, 1804);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates
239295;Ammobates dusmeti;Ammobates dusmeti Popov, 1951;Ammobates dusmeti Popov, 1951;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates
239296;Ammobates muticus;Ammobates muticus Spinola, 1843;Ammobates muticus Spinola, 1843;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Euphileremus
317451;Ammobates punctatus;Ammobates punctatus (Fabricius, 1804);Ammobates punctatus (Fabricius, 1804);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates
239297;Ammobates vinctus;Ammobates vinctus Gerstacker, 1869;Ammobates vinctus Gerstacker, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates
1000918;Ammobatoides scripta;Ammobatoides scripta Gerstacker, 1869;Ammobatoides scriptus (Gerstacker, 1869);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatoidini;Ammobatoides;
239298;Ammobatoides scriptus;Ammobatoides scriptus (Gerstacker, 1869);Ammobatoides scriptus (Gerstacker, 1869);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatoidini;Ammobatoides;
426725;Andrena abstersa;Andrena abstersa Perez, 1903;Andrena djelfensis Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
239299;Andrena aeneiventris;Andrena aeneiventris Morawitz, 1872;Andrena aeneiventris Morawitz, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Aenandrena
317467;Andrena afrensis;Andrena afrensis Warncke, 1967;Andrena afrensis Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena
1012377;Andrena afzeliella;Andrena afzeliella (Kirby, 1802);Andrena afzeliella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
1014610;Andrena afzeliella var. heliopolis;Andrena afzeliella var. heliopolis Friese, 1914;Andrena afzeliella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239301;Andrena agilissima;Andrena agilissima (Scopoli, 1770);Andrena agilissima (Scopoli, 1770);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Agandrena
939710;Andrena agilissima agilissima;Andrena agilissima agilissima (Scopoli, 1770);Andrena agilissima agilissima (Scopoli, 1770);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
317468;Andrena agnata;Andrena agnata Warncke, 1967;Andrena agnata Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
939541;Andrena albofasciata;Andrena albofasciata Thomson, 1870;Andrena afzeliella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
