"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"ALTITUDE";"UNIT";"STATISTIC";"GEOGRAPHIC_EXTENT";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"UNIT_ID";"STATISTIC_ID";"GEOGRAPHIC_EXTENT_ID";"SOURCE_ID"
53077;"Andrena cineraria";"(Linnaeus, 1758)";53077;"Andrena cineraria";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";875595;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53077;"Andrena cineraria";"(Linnaeus, 1758)";53077;"Andrena cineraria";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2100;" m";" maximum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";873359;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";875675;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1600;" m";" maximum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";873439;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";876063;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";1600;" m";" maximum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";873831;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53082;"Anthidium montanum";"Morawitz, 1865";53082;"Anthidium montanum";"Morawitz, 1865";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";2100;" m";" maximum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";873835;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53082;"Anthidium montanum";"Morawitz, 1865";53082;"Anthidium montanum";"Morawitz, 1865";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";800;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";876067;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";2100;" m";" maximum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";873843;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/410";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";0;" m";" minimum";"";"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";876075;"https://taxref.mnhn.fr/taxref-web/traits/values/201";"https://taxref.mnhn.fr/taxref-web/traits/values/400";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
