"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"NEST_TYPE";"PARASITISM_TYPE";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
239285;"Aglaoapis tridentata";"(Nylander, 1848)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Dioxyini";"Aglaoapis";NA;NA;NA;"parasite";"kleptoparasite";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
239286;"Amegilla albigena";"(Lepeletier, 1841)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Amegilla";NA;NA;NA;"excavated";"";"Genoud D. 2016. Diversite des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";"Abeilles";444912
239287;"Amegilla fasciata";"(Fabricius, 1775)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Amegilla";NA;NA;NA;"excavated";"";"Genoud, D. 2018. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Geslin, B., Schatz, B. 2024. BeeFunc : a comprehensive trait database for French wild bees.";"Abeilles";447701
239289;"Amegilla garrula";"(Rossi, 1790)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Amegilla";NA;NA;NA;"excavated";"";"Genoud D. 2016. Diversite des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";"Abeilles";444912
239292;"Amegilla quadrifasciata";"(Villers, 1789)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Anthophorinae";NA;"Amegilla";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
239295;"Ammobates dusmeti";"Popov, 1951";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Ammobatini";"Ammobates";NA;NA;NA;"parasite";"kleptoparasite";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
239296;"Ammobates muticus";"Spinola, 1843";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Ammobatini";"Ammobates";NA;NA;NA;"parasite";"kleptoparasite";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
317451;"Ammobates punctatus";"(Fabricius, 1804)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Ammobatini";"Ammobates";NA;NA;NA;"parasite";"kleptoparasite";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
239297;"Ammobates vinctus";"Gerstacker, 1869";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Ammobatini";"Ammobates";NA;NA;NA;"parasite";"kleptoparasite";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
239298;"Ammobatoides scriptus";"(Gerstacker, 1869)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomadinae";"Ammobatoidini";"Ammobatoides";NA;NA;NA;"parasite";"kleptoparasite";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
239299;"Andrena aeneiventris";"Morawitz, 1872";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Tomozei, B. 2014. Andrena aeneiventris. The IUCN Red List of Threatened Species 2014: e.T19198965A21308678.";"Abeilles";444822
239301;"Andrena agilissima";"(Scopoli, 1770)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
239302;"Andrena albopunctata";"(Rossi, 1792)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Kocourek, M.,1966. Prodromus der Hymenopteren der Tschechoslowakei. Pars 9: Apoidea, 1. Acta Faunistica Entomologica Musei Nationalis Pragae, Supplementum 2, 12 : 1–122.";"Abeilles";444665
239303;"Andrena alfkenella";"Perkins, 1914";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"DYLEWSKA, M. 1987. Die Gattung Andrena FABRICIUS (Andrenidae, Apoidea) in Nord- und Mitteleuropa. Acta zool. cracov. 30 (12): 359-708.";"Abeilles";308112
239304;"Andrena allosa";"Warncke, 1975";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
808455;"Andrena alutacea";"Stockhert, 1942";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
908477;"Andrena amieti";"Praz, Muller & Genoud, 2019";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Praz, C. J., Müller, A. & Genoud, D. 2019. Hidden diversity in European bees: Andrena amieti sp. n., a new alpine bee species related to Andrena bicolor (Fabricius, 1775) (Hymenoptera, Apoidea, Andrenidae). Alpine Entomology, 3: 11-38.";"Abeilles";239090
239305;"Andrena angustior";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
239308;"Andrena apicata";"Smith, 1847";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
