"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"GENERATION_PER_YEAR";"STATISTIC";"GEOGRAPHIC_EXTENT";"MIN_ALTITUDE_IN_M";"MAX_ALTITUDE_IN_M";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"STATISTIC_ID";"GEOGRAPHIC_EXTENT_ID";"SOURCE_ID"
53077;"Andrena cineraria";"(Linnaeus, 1758)";53077;"Andrena cineraria";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";949598;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), <em>Sci. Rep. Port Cros national Park</em>, 30: 95-143.";"2.0";"Abeilles";949654;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444912"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;"";"";NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";949656;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";949652;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53079;"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;"";"";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), <em>Sci. Rep. Port Cros national Park</em>, 30: 95-143.";"2.0";"Abeilles";949658;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444912"
53081;"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), <em>Sci. Rep. Port Cros national Park</em>, 30: 95-143.";"2.0";"Abeilles";949904;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444912"
53082;"Anthidium montanum";"Morawitz, 1865";53082;"Anthidium montanum";"Morawitz, 1865";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";949906;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53083;"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";949910;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53093;"Bombus cullumanus";"(Kirby, 1802)";53093;"Bombus cullumanus";"(Kirby, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";949981;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
53095;"Bombus hortorum";"(Linnaeus, 1761)";53095;"Bombus hortorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E. &amp; Willner W. 2016. <em>Taschenlexikon der Wildbienen Europas</em>. Quelle &amp; Meyer Verlag Wiebelsheim. 920 pp.";"2.0";"Abeilles";949989;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
