"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"ECOLOGICAL_AFFINITY";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfEco1";"Andrena aeneiventris Morawitz, 1872";"239299";"Andrena aeneiventris";"Morawitz, 1872";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco2";"Andrena agilissima (Scopoli, 1770)";"239301";"Andrena agilissima";"(Scopoli, 1770)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"Tomozei, B. 2014. Andrena agilissima. The IUCN Red List of Threatened Species 2014: e.T19199405A21308683.";"Abeilles";444823
"bfEco3";"Andrena alfkenella Perkins, 1914";"239303";"Andrena alfkenella";"Perkins, 1914";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"Tomozei, B. 2014. Andrena alfkenella. The IUCN Red List of Threatened Species 2014: e.T19199851A21308699.";"Abeilles";447854
"bfEco4";"Andrena angustior (Kirby, 1802)";"239305";"Andrena angustior";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"Tomozei, B. 2014. Andrena angustior (Europe assessment). The IUCN Red List of Threatened Species 2014: e.T19198859A21308734";"Abeilles";447855
"bfEco5";"Andrena apicata Smith, 1847";"239308";"Andrena apicata";"Smith, 1847";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"Tomozei, B. 2014. Andrena apicata. The IUCN Red List of Threatened Species 2014: e.T19199661A21308795.";"Abeilles";447856
"bfEco6";"Andrena combinata (Christ, 1791)";"239331";"Andrena combinata";"(Christ, 1791)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco7";"Andrena congruens Schmiedeknecht, 1883";"239332";"Andrena congruens";"Schmiedeknecht, 1883";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Thermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
"bfEco8";"Andrena fucata Smith, 1847";"239351";"Andrena fucata";"Smith, 1847";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfEco9";"Andrena fucata Smith, 1847";"239351";"Andrena fucata";"Smith, 1847";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Hygrophile";"Tomozei, B. 2014. Andrena fucata. The IUCN Red List of Threatened Species 2014: e.T19199492A21310210.";"Abeilles";444828
"bfEco10";"Andrena fulvicornis Schenck, 1861";"814736";"Andrena fulvicornis";"Schenck, 1861";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"Xerothermophile";"SwissBeeTeam. 2018. Atlas en ligne des abeilles sauvages de Suisse. InfoFauna. http://swisswildbee.ch.";"Abeilles";444815
