"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"RANK";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"RELATION_EN";"CD_NOM_02";"LB_NOM_02";"VALID_NAME_02";"LB_AUTHOR_02";"RANK_02";"KINGDOM_02";"PHYLUM_02";"CLASS_02";"ORDER_02";"FAMILY_02";"GENUS_02";"GROUP1_INPN_02";"GROUP2_INPN_02";"CD_DOC";"SOURCE";"DOC_URL";"LB_ETAT_SEXE_EN_1";"WIKIDATA_SEXE_1";"CD_ETAT_STADE_1";"LB_ETAT_STADE_EN_1";"WIKIDATA_STADE_1";"CD_ETAT_SPECIFICITE";"SPECIFITY";"WIKIDATA_SPECIFICITE";"LB_ETAT_STADE_EN_2";"WIKIDATA_STADE_2";"CD_BIOLINTER_SP"
"bfPar1";"Nomada fabriciana (Linnaeus, 1767)";"239980";"Nomada fabriciana";"(Linnaeus, 1767)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444726";"Perkins R.C.L. 1919. The British species of Andrena and Nomada. Transactions of the Entomological Society of London, 1919: 218-320";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"120618"
"bfPar2";"Nomada errans Lepeletier, 1841";"239977";"Nomada errans";"Lepeletier de Saint-Fargeau, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"375604";"Schmiedeknecht O., 1930. Die Hymenopteren Nord- und Mitteleuropas mit Einschluss von England, Südschweiz, Südtirol und Ungarn nach ihren Gattungen und zum grossen Teil auch nach Arten analytisch bearbeitet. Zweite, gänzlich umbearbeitete Auflage. Verlag von Gustav Fischer, Jena. X + 1062 pp.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"119083"
"bfPar3";"Nomada errans Lepeletier, 1841";"239977";"Nomada errans";"Lepeletier de Saint-Fargeau, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444812";"Stoeckhert, F. K. 1933. Die Bienen Frankens (Hym. Apid.). Eine ökologisch-tiergeographische Untersuchung. Beih. Dt. Ent. Z.:294.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"119083"
"bfPar4";"Nomada errans Lepeletier, 1841";"239977";"Nomada errans";"Lepeletier de Saint-Fargeau, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444665";"Kocourek, M.,1966. Prodromus der Hymenopteren der Tschechoslowakei. Pars 9: Apoidea, 1. Acta Faunistica Entomologica Musei Nationalis Pragae, Supplementum 2, 12 : 1–122.";"https://www.aemnp.eu/data/article-136/117-2_0_1.pdf";NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"119083"
"bfPar5";"Nomada errans Lepeletier, 1841";"239977";"Nomada errans";"Lepeletier de Saint-Fargeau, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444813";"Stoeckhert, F. K. 1954. Fauna Apoideorum Germaniae. Abh. bayer. Akad. Wiss., N.F., 65: 1–87.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"119083"
"bfPar6";"Nomada errans Lepeletier, 1841";"239977";"Nomada errans";"Lepeletier de Saint-Fargeau, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"447698";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Geslin, B., Schatz, B. 2024. BeeFunc : a comprehensive trait database for French wild bees.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"119083"
"bfPar7";"Nomada errans Lepeletier, 1841";"239977";"Nomada errans";"Lepeletier de Saint-Fargeau, 1841";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444910";"Enslin, E. 1922. Über Bienen und Wespen aus Nordbayern. 122 smit - de wespbijen van nederland 123. Archiv für Naturgeschichte, 88: 233-248.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"119083"
"bfPar8";"Nomada duplex Smith, 1854";"318269";"Nomada duplex";"Smith, 1854";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"393818";"Aubert, M., Dufrêne, E., Genoud, D., Scheuchl, E. & Schwarz, M. 2010. Sur la présence d’Andrena binominata SMITH, 1853 (Hymenoptera, Andrenidae) et de Nomada duplex SMITH, 1854 (Hymenoptera, Apidae) en France. Osmia, 4: 24-28.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"118408"
"bfPar9";"Nomada connectens Perez, 1884";"239971";"Nomada connectens";"Pérez, 1884";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"189150";"Andrena";"Andrena Fabricius, 1775";"Fabricius, 1775";"GN";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444860";"Amiet, F., Herrmann, M., Müller, A., Neumeyer, R. 2007. Apidae. 5: Ammobates, Ammobatoides, Anthophora, Biastes, Ceratina, Dasypoda, Epeoloides, Epeolus, Eucera, Macropis, Melecta, Melitta, Nomada, Pasites, Tetralonia, Thyreus, Xylocopa. Fauna Helvetica 20. 356pp.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"121352"
"bfPar10";"Nomada signata Jurine, 1807";"240037";"Nomada signata";"Jurine, 1807";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Nomada";"Arthropodes";"Insectes";"kleptoparasite of";"53079";"Andrena fulva";"Andrena fulva (Müller, 1766)";"(Müller, 1766)";"ES";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andrena";"Arthropodes";"Insectes";"444845";"Westrich, P. 1989. Die Wildbienen Baden-Württembergs. 1: Allgemeiner Teil: Lebensräume, Verhalten, Ökologie und Schutz. Ulmer, Stuttgart. 972pp.";NA;NA;NA;NA;NA;NA;"130";"mandatory";"https://www.wikidata.org/wiki/Q29557567";NA;NA;"121399"
