"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"SOCIABILITY";"SPECIFICITY";"BIOLOGICAL_STAGE";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"SOCIABILITY_ID";"SPECIFICITY_ID";"BIOLOGICAL_STAGE_ID";"SOURCE_ID"
"bfSoc1";"Andrena cineraria (Linnaeus, 1758)";"53077";"Andrena cineraria";"(Linnaeus, 1758)";53077;"Andrena cineraria";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"gregarious";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939524;"https://taxref.mnhn.fr/taxref-web/traits/values/1168";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc2";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"solitary";"principal";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";938033;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";"https://taxref.mnhn.fr/taxref-web/traits/values/132";NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc3";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"gregarious";"optional";NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";939420;"https://taxref.mnhn.fr/taxref-web/traits/values/1168";"https://taxref.mnhn.fr/taxref-web/traits/values/136";NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc4";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"gregarious";"optional";NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939423;"https://taxref.mnhn.fr/taxref-web/traits/values/1168";"https://taxref.mnhn.fr/taxref-web/traits/values/136";NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc5";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";"Arthropodes";"Insectes";"Hyménoptères";"solitary";"principal";NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";938030;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";"https://taxref.mnhn.fr/taxref-web/traits/values/132";NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc6";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";"solitary";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";939706;"https://taxref.mnhn.fr/taxref-web/traits/values/1149";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfSoc7";"Bombus cullumanus (Kirby, 1802)";"53093";"Bombus cullumanus";"(Kirby, 1802)";53093;"Bombus cullumanus";"(Kirby, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939752;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc8";"Bombus hortorum (Linnaeus, 1761)";"53095";"Bombus hortorum";"(Linnaeus, 1761)";53095;"Bombus hortorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939758;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc9";"Bombus hypnorum (Linnaeus, 1758)";"53096";"Bombus hypnorum";"(Linnaeus, 1758)";53096;"Bombus hypnorum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939762;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfSoc10";"Bombus lapidarius (Linnaeus, 1758)";"53097";"Bombus lapidarius";"(Linnaeus, 1758)";53097;"Bombus lapidarius";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";"social > eusocial";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";939768;"https://taxref.mnhn.fr/taxref-web/traits/values/1159";NA;NA;"https://taxref.mnhn.fr/taxref-web/docs/444787"
