LB_NOM;VALID_NAME;PHYLUM;CLASS;ORDER;FAMILY;SUBFAMILY;TRIBE;GENUS;SUBGENUS;CD_NOM
Aglaoapis sparsepunctata;Aglaoapis sparsepunctata Le Divelec, 2024 ;Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Dioxyini;Aglaoapis;;1078452
Aglaoapis tridentata;Aglaoapis tridentata (Nylander, 1848);Arthropoda;Insecta;Hymenoptera;Megachilidae;Megachilinae;Dioxyini;Aglaoapis;;239285
Amegilla albigena;Amegilla albigena (Lepeletier, 1841);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Zebramegilla;239286
Amegilla fasciata;Amegilla fasciata (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Micramegilla;239287
Amegilla garrula;Amegilla garrula (Rossi, 1790);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;Amegilla;239289
Amegilla ochroleuca;Amegilla ochroleuca (Perez, 1880);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;;239291
Amegilla quadrifasciata;Amegilla quadrifasciata (Villers, 1789);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;;239292
Amegilla savignyi;Amegilla savignyi (Lepeletier, 1841);Arthropoda;Insecta;Hymenoptera;Apidae;Anthophorinae;;Amegilla;;239293
Ammobates dusmeti;Ammobates dusmeti Popov, 1951;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates;239295
Ammobates muticus;Ammobates muticus Spinola, 1843;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Euphileremus;239296
Ammobates punctatus;Ammobates punctatus (Fabricius, 1804);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates;317451
Ammobates rufiventris;Ammobates rufiventris Latreille, 1809 ;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates;1078051
Ammobates vinctus;Ammobates vinctus Gerstacker, 1869;Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatini;Ammobates;Ammobates;239297
Ammobatoides scriptus;Ammobatoides scriptus (Gerstacker, 1869);Arthropoda;Insecta;Hymenoptera;Apidae;Nomadinae;Ammobatoidini;Ammobatoides;;239298
Andrena aeneiventris;Andrena aeneiventris Morawitz, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Aenandrena;239299
Andrena afrensis;Andrena afrensis Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena;317467
Andrena afzeliella;Andrena afzeliella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;1012377
Andrena agilissima;Andrena agilissima (Scopoli, 1770);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Agandrena;239301
Andrena albopunctata;Andrena albopunctata (Rossi, 1792);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239302
Andrena alfkenella;Andrena alfkenella Perkins, 1914;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239303
Andrena allosa;Andrena allosa Warncke, 1975;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239304
Andrena alutacea;Andrena alutacea Stockhert, 1942;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;808455
Andrena amieti;Andrena amieti Praz, Muller & Genoud, 2019;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;908477
Andrena ampla;Andrena ampla Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;883841
Andrena angustior;Andrena angustior (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239305
Andrena anthrisci;Andrena anthrisci Bluthgen, 1925;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239306
Andrena antigana;Andrena antigana Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;239307
Andrena antonellae;Andrena antonellae Praz & Genoud, 2022;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;1012381
Andrena apicata;Andrena apicata Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239308
Andrena argentata;Andrena argentata Smith, 1844;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena;239309
Andrena asperrima;Andrena asperrima Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Agandrena;239310
Andrena assimilis;Andrena assimilis Radoszkowski, 1876;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239311
Andrena avara;Andrena avara Warncke, 1967;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Avandrena;239312
Andrena barbareae;Andrena barbareae Panzer, 1803;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;317479
Andrena barbilabris;Andrena barbilabris (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena;239313
Andrena batava;Andrena batava Pérez, 1902;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;808440
Andrena bicolor;Andrena bicolor Fabricius, 1775;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239314
Andrena bicolorata;Andrena bicolorata (Rossi, 1790);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239315
Andrena bimaculata;Andrena bimaculata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena;239316
Andrena binominata;Andrena binominata Smith, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena;239317
Andrena brumanensis;Andrena brumanensis Friese, 1899;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cryptandrena;239320
Andrena bucephala;Andrena bucephala Stephens, 1846;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena;239321
Andrena chrysopus;Andrena chrysopus Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239323
Andrena chrysopyga;Andrena chrysopyga Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239324
Andrena chrysosceles;Andrena chrysosceles (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena;239325
Andrena cineraria;Andrena cineraria (Linnaeus, 1758);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;53077
Andrena cinerea;Andrena cinerea Brulle, 1832;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239326
Andrena clarkella;Andrena clarkella (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239327
Andrena clypella;Andrena clypella Strand, 1921;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239328
Andrena coitana;Andrena coitana (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Oreomelissa;239329
Andrena colletiformis;Andrena colletiformis Morawitz, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239330
Andrena combinata;Andrena combinata (Christ, 1791);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;239331
Andrena confinis;Andrena confinis Stockhert, 1930;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;939582
Andrena congruens;Andrena congruens Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239332
Andrena corssubalpina;Andrena corssubalpina Theunert, 2007;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;814733
Andrena curvungula;Andrena curvungula C.G. Thomson, 1870;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239334
Andrena decipiens;Andrena decipiens Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239336
Andrena denticulata;Andrena denticulata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena;239337
